Provinsi;Kabupaten;Kecamatan;Desa;adm1;adm2;adm3;adm4
Jawa Timur;Pacitan;Donorojo;Widoro;35;35.01;35.01.01;35.01.01.2001
Jawa Timur;Pacitan;Donorojo;Sawahan;35;35.01;35.01.01;35.01.01.2002
Jawa Timur;Pacitan;Donorojo;Kalak;35;35.01;35.01.01;35.01.01.2003
Jawa Timur;Pacitan;Donorojo;Sendang;35;35.01;35.01.01;35.01.01.2004
Jawa Timur;Pacitan;Donorojo;Klepu;35;35.01;35.01.01;35.01.01.2005
Jawa Timur;Pacitan;Donorojo;Gedompol;35;35.01;35.01.01;35.01.01.2006
Jawa Timur;Pacitan;Donorojo;Cemeng;35;35.01;35.01.01;35.01.01.2007
Jawa Timur;Pacitan;Donorojo;Gendaran;35;35.01;35.01.01;35.01.01.2008
Jawa Timur;Pacitan;Donorojo;Sukodono;35;35.01;35.01.01;35.01.01.2009
Jawa Timur;Pacitan;Donorojo;Sekar;35;35.01;35.01.01;35.01.01.2010
Jawa Timur;Pacitan;Donorojo;Donorojo;35;35.01;35.01.01;35.01.01.2011
Jawa Timur;Pacitan;Donorojo;Belah;35;35.01;35.01.01;35.01.01.2012
Jawa Timur;Pacitan;Pringkuku;Dersono;35;35.01;35.01.02;35.01.02.2001
Jawa Timur;Pacitan;Pringkuku;Sugihwaras;35;35.01;35.01.02;35.01.02.2002
Jawa Timur;Pacitan;Pringkuku;Watukarung;35;35.01;35.01.02;35.01.02.2003
Jawa Timur;Pacitan;Pringkuku;Jlubang;35;35.01;35.01.02;35.01.02.2004
Jawa Timur;Pacitan;Pringkuku;Candi;35;35.01;35.01.02;35.01.02.2005
Jawa Timur;Pacitan;Pringkuku;Poko;35;35.01;35.01.02;35.01.02.2006
Jawa Timur;Pacitan;Pringkuku;Dadapan;35;35.01;35.01.02;35.01.02.2007
Jawa Timur;Pacitan;Pringkuku;Pringkuku;35;35.01;35.01.02;35.01.02.2008
Jawa Timur;Pacitan;Pringkuku;Sobo;35;35.01;35.01.02;35.01.02.2009
Jawa Timur;Pacitan;Pringkuku;Ngadirejan;35;35.01;35.01.02;35.01.02.2010
Jawa Timur;Pacitan;Pringkuku;Glinggangan;35;35.01;35.01.02;35.01.02.2011
Jawa Timur;Pacitan;Pringkuku;Pelem;35;35.01;35.01.02;35.01.02.2012
Jawa Timur;Pacitan;Pringkuku;Tamanasri;35;35.01;35.01.02;35.01.02.2013
Jawa Timur;Pacitan;Punung;Bomo;35;35.01;35.01.03;35.01.03.2001
Jawa Timur;Pacitan;Punung;Sooka;35;35.01;35.01.03;35.01.03.2002
Jawa Timur;Pacitan;Punung;Punung;35;35.01;35.01.03;35.01.03.2003
Jawa Timur;Pacitan;Punung;Mendolo Kidul;35;35.01;35.01.03;35.01.03.2004
Jawa Timur;Pacitan;Punung;Piton;35;35.01;35.01.03;35.01.03.2005
Jawa Timur;Pacitan;Punung;Kendal;35;35.01;35.01.03;35.01.03.2006
Jawa Timur;Pacitan;Punung;Wareng;35;35.01;35.01.03;35.01.03.2007
Jawa Timur;Pacitan;Punung;Mantren;35;35.01;35.01.03;35.01.03.2008
Jawa Timur;Pacitan;Punung;Mendolo Lor;35;35.01;35.01.03;35.01.03.2009
Jawa Timur;Pacitan;Punung;Ploso;35;35.01;35.01.03;35.01.03.2010
Jawa Timur;Pacitan;Punung;Gondosari;35;35.01;35.01.03;35.01.03.2011
